area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,is_luxury
Carpet  Area,Ready To Move,Doddakannelli,3 BHK,780.0,3.0,2.0,75.0,3,9615.384615384615,False
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,950.0,2.0,1.0,58.11,2,6116.8421052631575,False
Super built-up  Area,Ready To Move,T C Palya main Road,2 BHK,1175.0,2.0,1.0,48.72,2,4146.382978723404,False
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089.0,2.0,1.0,43.55,2,3999.0817263544536,False
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,175.0,3,9700.665188470066,False
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1257.0,2.0,1.0,68.5,2,5449.482895783612,False
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,650.0,1.0,2.0,19.87,1,3056.923076923077,False
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1850.0,3.0,2.0,150.0,3,8108.108108108108,False
Built-up  Area,Ready To Move,Vishwapriya Nagar,4 Bedroom,2800.0,4.0,1.0,200.0,4,7142.857142857143,True
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,945.0,2.0,2.0,40.0,2,4232.804232804233,False
Super built-up  Area,22-Dec,Koramangala,2 BHK,1161.0,2.0,1.0,63.85,2,5499.569336778639,False
Super built-up  Area,17-Apr,Banashankari Stage V,3 BHK,1630.0,3.0,2.0,51.35,3,3150.306748466258,False
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,1310.0,2.0,2.0,60.0,3,4580.152671755725,False
Super built-up  Area,Ready To Move,Lake City,2 BHK,750.0,2.0,1.0,28.0,2,3733.3333333333335,False
Plot  Area,18-Sep,Whitefield,3 Bedroom,1200.0,3.0,1.0,67.77,3,5647.5,False
Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,1000.0,2.0,1.0,45.0,2,4500.0,False
Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,4000.0,4.0,2.0,225.0,4,5625.0,True
Built-up  Area,Ready To Move,Nagavara,2 BHK,1315.0,2.0,2.0,70.0,2,5323.19391634981,False
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1370.0,2.0,2.0,90.0,3,6569.343065693431,False
Plot  Area,Ready To Move,Ulsoor,5 Bedroom,1200.0,4.0,3.0,150.0,5,12500.0,False
Built-up  Area,Ready To Move,Bellandur,2 BHK,1465.0,3.0,3.0,90.0,2,6143.344709897611,False
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128.0,2.0,1.0,64.0,2,5673.758865248227,False
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,1250.0,2.0,2.0,70.0,3,5600.0,False
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1284.0,2.0,2.0,75.0,3,5841.121495327103,False
Super built-up  Area,18-Mar,Hebbal,3 BHK,2600.0,3.0,2.0,199.0,3,7653.846153846154,False
Super built-up  Area,19-Jun,Kodigehalli,3 BHK,1820.0,3.0,2.0,150.0,3,8241.758241758242,False
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1580.0,3.0,1.0,73.0,3,4620.2531645569625,False
Built-up  Area,Ready To Move,Akshaya Nagar,3 Bedroom,2650.0,3.0,2.0,125.0,3,4716.981132075472,False
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1075.0,2.0,1.0,40.0,2,3720.9302325581393,False
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,1400.0,2.0,3.0,78.0,3,5571.428571428572,False
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1400.0,2.0,1.0,55.0,3,3928.5714285714284,False
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845.0,2.0,1.0,30.0,2,3550.2958579881656,False
Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,3854.5,6.0,0.0,385.5,4,10001.297185108315,True
Super built-up  Area,Ready To Move,Richards Town,2 BHK,800.0,2.0,1.0,85.0,2,10625.0,False
Super built-up  Area,Ready To Move,Gunjur,2 BHK,1175.0,2.0,2.0,43.48,2,3700.425531914894,False
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,2400.0,3.0,2.0,270.0,3,11250.0,False
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767.0,3.0,2.0,109.0,3,6168.647425014148,False
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1800.0,3.0,1.0,90.0,4,5000.0,False
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,1200.0,3.0,2.0,140.0,3,11666.666666666666,False
Super built-up  Area,18-Jun,Rajaji Nagar,3 BHK,1613.0,3.0,0.0,150.0,3,9299.442033477992,False
Super built-up  Area,Ready To Move,Jakkur,4 BHK,6830.0,5.0,2.0,795.0,4,11639.824304538799,True
Built-up  Area,Ready To Move,Whitefield,2 BHK,1290.0,2.0,0.0,90.0,2,6976.7441860465115,False
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1375.0,2.0,1.0,78.0,2,5672.727272727273,False
Super built-up  Area,Ready To Move,Bagalur,2 BHK,985.0,2.0,2.0,57.0,2,5786.802030456853,False
Plot  Area,Ready To Move,Jeevan bima nagar,4 Bedroom,1200.0,4.0,1.0,200.0,4,16666.666666666668,False
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1099.0,2.0,1.0,37.5,2,3412.1929026387625,False
Built-up  Area,Ready To Move,RMV Extension Stage 2,7 Bedroom,3600.0,7.0,3.0,160.0,7,4444.444444444444,True
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,1.0,53.0,2,4416.666666666667,False
Built-up  Area,Ready To Move,Hulimavu,2 BHK,1000.0,2.0,1.0,45.0,2,4500.0,False
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1159.0,2.0,3.0,38.0,3,3278.688524590164,False
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,3692.0,5.0,2.0,340.0,5,9209.100758396533,True
Plot  Area,Ready To Move,Devi Nagar,2 Bedroom,600.0,2.0,1.0,80.0,2,13333.333333333334,False
Built-up  Area,Ready To Move,BTM Layout,3 BHK,1540.0,2.0,2.0,78.0,3,5064.935064935065,False
Built-up  Area,Ready To Move,"JP Nagar 7th Phase, ",3 BHK,1503.0,2.0,2.0,93.0,3,6187.624750499002,False
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1850.0,4.0,2.0,120.0,3,6486.486486486487,False
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1580.0,3.0,1.0,60.0,3,3797.46835443038,False
Super built-up  Area,Ready To Move,Mico Layout,2 BHK,1190.0,2.0,2.0,39.25,2,3298.3193277310925,False
Plot  Area,Ready To Move,Sampigehalli,2 Bedroom,1200.0,2.0,1.0,61.0,2,5083.333333333333,False
Super built-up  Area,Ready To Move,Domlur,3 BHK,2180.0,3.0,2.0,285.0,3,13073.394495412844,False
Plot  Area,18-Dec,ITPL,3 Bedroom,1200.0,3.0,1.0,56.12,3,4676.666666666667,False
Super built-up  Area,Ready To Move,Kamakshipalya,3 BHK,1500.0,2.0,2.0,52.0,3,3466.6666666666665,False
Plot  Area,Ready To Move,Navodaya Nagar,5 Bedroom,1200.0,3.0,2.0,180.0,5,15000.0,False
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1880.0,3.0,3.0,120.0,3,6382.978723404255,False
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1150.0,2.0,2.0,45.0,2,3913.0434782608695,False
Plot  Area,18-May,Kasavanhalli,4 Bedroom,4408.0,4.0,2.0,344.0,4,7803.992740471869,True
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,7800.0,6.0,2.0,385.0,5,4935.897435897436,True
Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,600.0,6.0,3.0,100.0,6,16666.666666666668,False
Plot  Area,18-Feb,Pattanagere,4 Bedroom,750.0,4.0,1.0,95.0,4,12666.666666666666,False
Built-up  Area,Ready To Move,Karuna Nagar,3 Bedroom,1962.0,3.0,2.0,175.0,3,8919.469928644241,False
Super built-up  Area,18-Nov,B Narayanapura,3 BHK,1765.0,3.0,2.0,77.27,3,4377.903682719547,False
Super built-up  Area,19-Jun,Bannerghatta Road,3 BHK,1894.0,3.0,1.0,115.0,3,6071.805702217529,False
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,960.0,2.0,2.0,138.0,4,14375.0,False
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,1760.0,3.0,2.0,142.0,3,8068.181818181818,False
Built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,1768.0,3.0,3.0,95.0,3,5373.303167420814,False
Built-up  Area,Ready To Move,Kothanur,3 BHK,1790.0,3.0,0.0,97.0,3,5418.994413407821,False
Plot  Area,17-Jul,Kumara Park,4 Bedroom,3500.0,5.0,1.0,800.0,4,22857.14285714286,True
Plot  Area,18-Dec,Whitefield,2 Bedroom,1200.0,2.0,1.0,45.0,2,3750.0,False
Built-up  Area,Ready To Move,Kengeri,4 Bedroom,2540.0,4.0,0.0,160.0,4,6299.212598425197,True
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1137.0,2.0,1.0,53.4,2,4696.5699208443275,False
Super built-up  Area,22-May,Jakkur,4 BHK,3181.0,2.0,2.0,229.0,4,7198.994027035524,True
Plot  Area,Ready To Move,Guni Agrahara,7 Bedroom,1200.0,6.0,2.0,115.0,7,9583.333333333334,False
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1568.0,2.0,2.0,100.0,3,6377.551020408163,False
Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,4920.0,4.0,0.0,393.5,4,7997.967479674797,True
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1308.0,2.0,1.0,60.0,2,4587.155963302752,False
Super built-up  Area,19-Aug,Shankarapuram,4 BHK,3060.0,4.0,2.0,350.0,4,11437.908496732027,True
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1200.0,2.0,1.0,41.0,3,3416.6666666666665,False
Super built-up  Area,Ready To Move,Shetty Halli,1 BHK,800.0,1.0,2.0,32.0,1,4000.0,False
Super built-up  Area,19-Dec,Electronic City,1 BHK,530.0,1.0,1.0,13.5,1,2547.169811320755,False
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,873.0,2.0,1.0,40.0,3,4581.901489117984,False
Plot  Area,Ready To Move,AGB Layout,7 Bedroom,3000.0,6.0,3.0,145.0,7,4833.333333333333,True
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 Bedroom,1200.0,4.0,1.0,235.0,4,19583.333333333332,False
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,958.0,2.0,1.0,33.53,2,3500.0,False
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,2273.0,3.0,3.0,159.0,3,6995.160580730312,False
Plot  Area,18-May,Banashankari Stage VI,3 Bedroom,600.0,3.0,2.0,90.0,3,15000.0,False
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,760.0,1.0,2.0,50.0,1,6578.9473684210525,False
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1090.0,2.0,2.0,43.5,2,3990.8256880733943,False
Super built-up  Area,Ready To Move,Bellandur,3 BHK,2666.0,3.0,1.0,230.0,3,8627.156789197299,False
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1550.0,2.0,1.0,89.0,3,5741.935483870968,False
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,1251.0,2.0,1.0,50.0,2,3996.802557953637,False
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,53.0,2,4953.271028037383,False
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,45.0,2,3750.0,False
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1435.0,2.0,2.0,60.0,3,4181.184668989547,False
Built-up  Area,Ready To Move,Bommasandra,3 BHK,1400.0,2.0,3.0,45.0,3,3214.285714285714,False
Super built-up  Area,Ready To Move,Judicial Layout,4 BHK,2330.0,3.0,2.0,94.71,4,4064.8068669527897,True
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1200.0,2.0,3.0,60.0,2,5000.0,False
Super built-up  Area,Ready To Move,Panathur,2 BHK,1000.0,2.0,2.0,40.0,2,4000.0,False
Super built-up  Area,18-Sep,Bannerghatta Road,3 BHK,1655.0,2.0,2.0,62.89,3,3800.0,False
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,9 Bedroom,3600.0,9.0,3.0,240.0,9,6666.666666666667,True
Plot  Area,Ready To Move,Bidrahalli,1 Bedroom,600.0,1.0,1.0,35.0,1,5833.333333333333,False
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1175.0,2.0,1.0,50.0,2,4255.31914893617,False
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1155.0,2.0,2.0,40.43,2,3500.4329004329006,False
Plot  Area,Ready To Move,Magadi Road,3 Bedroom,1200.0,3.0,2.0,98.0,3,8166.666666666667,False
Super built-up  Area,Ready To Move,Budigere,2 BHK,1149.0,2.0,2.0,65.0,2,5657.093124456049,False
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1745.0,2.0,2.0,98.485,3,5643.839541547278,False
Plot  Area,Ready To Move,Choodasandra,4 Bedroom,3200.0,4.0,2.0,375.0,4,11718.75,True
Super built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,1010.0,2.0,2.0,55.0,2,5445.544554455446,False
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1718.0,3.0,2.0,119.0,3,6926.6589057043075,False
Super built-up  Area,Ready To Move,Bilal Nagar,2 BHK,650.0,1.0,1.0,20.0,2,3076.923076923077,False
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1330.0,2.0,2.0,77.0,2,5789.473684210527,False
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200.0,2.0,2.0,68.0,2,5666.666666666667,False
Super built-up  Area,21-Dec,Bannerghatta Road,3 BHK,1693.0,3.0,2.0,89.0,3,5256.940342587123,False
Super built-up  Area,19-Dec,Koramangala,2 BHK,1249.0,2.0,1.0,165.0,2,13210.56845476381,False
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1800.0,4.0,1.0,125.0,3,6944.444444444444,False
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,900.0,2.0,0.0,55.0,2,6111.111111111111,False
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020.0,2.0,1.0,46.0,2,4509.803921568628,False
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,1700.0,3.0,2.0,77.0,3,4529.411764705882,False
Built-up  Area,18-Jun,Panathur,1 BHK,661.0,1.0,1.0,40.0,1,6051.437216338881,False
Super built-up  Area,17-Sep,Bannerghatta Road,2 BHK,1280.0,2.0,2.0,60.16,2,4700.0,False
Plot  Area,Ready To Move,Krishna Nagar,5 Bedroom,1000.0,4.0,2.0,90.0,5,9000.0,False
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1170.0,2.0,1.0,48.0,2,4102.5641025641025,False
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,933.0,2.0,1.0,58.0,1,6216.505894962486,False
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1150.0,2.0,0.0,44.0,2,3826.086956521739,False
Super built-up  Area,Ready To Move,Benson Town,4 BHK,3633.0,6.0,2.0,550.0,4,15139.003578309937,True
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1380.0,3.0,3.0,130.0,3,9420.289855072464,False
Built-up  Area,Ready To Move,Banjara Layout,2 Bedroom,1050.0,2.0,1.0,64.8,2,6171.428571428572,False
Super built-up  Area,Ready To Move,Kanakapura Main Road,2 BHK,1080.0,2.0,1.0,37.8,2,3499.9999999999995,False
Super built-up  Area,Ready To Move,Harlur,2 BHK,1303.0,2.0,1.0,90.0,2,6907.137375287797,False
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,2.0,40.54,2,3389.632107023411,False
Built-up  Area,Ready To Move,Nagarbhavi,5 Bedroom,2500.0,3.0,2.0,180.0,5,7200.0,True
Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,1200.0,4.0,1.0,95.0,5,7916.666666666667,False
Super built-up  Area,18-May,Bommanahalli,3 BHK,1250.0,3.0,2.0,41.0,3,3280.0,False
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1419.0,2.0,3.0,87.0,3,6131.0782241014795,False
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1200.0,2.0,3.0,49.0,2,4083.3333333333335,False
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1120.0,2.0,2.0,65.0,2,5803.571428571428,False
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,762.5,1.0,0.0,45.4,1,5954.098360655737,False
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1245.0,2.0,1.0,75.0,2,6024.096385542169,False
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,3978.0,4.0,3.0,428.0,4,10759.175465057819,True
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1093.0,2.0,1.0,34.0,2,3110.704483074108,False
Super built-up  Area,18-Jul,Electronic City,2 BHK,1025.0,1.0,1.0,26.63,2,2598.048780487805,False
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1345.0,2.0,1.0,97.0,2,7211.8959107806695,False
Plot  Area,Ready To Move,Suryanagar,2 Bedroom,1500.0,2.0,1.0,45.0,2,3000.0,False
Super built-up  Area,21-Jun,Vijayanagar,2 BHK,1180.0,2.0,1.0,86.0,2,7288.135593220339,False
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020.0,2.0,1.0,48.45,2,4750.0,False
Super built-up  Area,Ready To Move,Nanjappa Layout,3 BHK,1800.0,3.0,3.0,85.0,3,4722.222222222223,False
Super built-up  Area,18-Aug,Konanakunte,4 BHK,3621.0,4.0,1.0,511.0,4,14112.123722728527,True
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,2008.0,3.0,2.0,170.0,3,8466.135458167331,False
Super built-up  Area,18-Jun,Kothannur,3 BHK,1240.0,2.0,2.0,39.85,3,3213.7096774193546,False
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1020.0,2.0,1.0,55.0,2,5392.156862745098,False
Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3 BHK,2095.0,3.0,2.0,142.0,3,6778.042959427207,False
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1362.0,3.0,2.0,62.63,3,4598.384728340676,False
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,694.0,1.0,0.0,30.84,1,4443.804034582133,False
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404.0,2.0,2.0,70.0,2,4985.754985754986,False
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1192.0,2.0,3.0,47.0,3,3942.953020134228,False
Plot  Area,Ready To Move,Wilson Garden,8 Bedroom,1850.0,12.0,2.0,300.0,8,16216.216216216217,False
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,1050.0,1.0,0.0,35.0,4,3333.3333333333335,False
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1259.0,2.0,1.0,67.48,2,5359.809372517871,False
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1000.0,2.0,2.0,34.0,2,3400.0,False
Super built-up  Area,20-Dec,Rachenahalli,2 BHK,985.0,2.0,1.0,49.97,2,5073.096446700508,False
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,850.0,1.0,2.0,60.0,1,7058.823529411765,False
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1650.0,2.0,1.0,50.0,3,3030.3030303030305,False
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,2400.0,3.0,1.0,320.0,5,13333.333333333334,True
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1900.0,4.0,1.0,180.0,3,9473.684210526315,False
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,1367.0,2.0,2.0,86.0,2,6291.148500365764,False
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1210.0,2.0,2.0,81.0,3,6694.214876033057,False
Super built-up  Area,Ready To Move,Duvasapalya,2 BHK,1190.0,2.0,1.0,48.6,2,4084.0336134453783,False
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1175.0,2.0,2.0,42.0,2,3574.468085106383,False
Super built-up  Area,Ready To Move,R.T. Nagar,4 BHK,2800.0,4.0,2.0,400.0,4,14285.714285714286,True
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140.0,2.0,2.0,40.0,2,3508.7719298245615,False
Super built-up  Area,Ready To Move,Hoskote,2 BHK,1095.0,2.0,2.0,33.6,2,3068.4931506849316,False
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1435.0,2.0,2.0,80.0,3,5574.912891986062,False
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,725.0,2.0,2.0,36.0,2,4965.517241379311,False
Built-up  Area,Ready To Move,BCMC Layout,3 BHK,1600.0,2.0,2.0,88.0,3,5500.0,False
Plot  Area,Ready To Move,9th Phase JP Nagar,5 Bedroom,1200.0,5.0,2.0,160.0,5,13333.333333333334,False
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205.0,4.0,2.0,300.0,4,9360.374414976599,True
Plot  Area,Ready To Move,Vishwapriya Layout,4 Bedroom,720.0,3.0,1.0,95.0,4,13194.444444444445,False
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,1674.0,3.0,2.0,90.0,3,5376.344086021505,False
Plot  Area,Ready To Move,Jnanabharathi Layout,4 Bedroom,860.0,4.0,2.0,125.0,4,14534.883720930233,False
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1703.0,3.0,2.0,130.0,3,7633.587786259542,False
Super built-up  Area,18-May,Padmanabhanagar,3 BHK,1350.0,3.0,1.0,71.55,3,5300.0,False
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1145.0,2.0,1.0,41.21,2,3599.126637554585,False
Super built-up  Area,18-Apr,Whitefield,2 BHK,1216.0,2.0,1.0,75.0,2,6167.763157894737,False
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,3.0,1.0,60.0,2,5454.545454545455,False
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,2425.0,5.0,1.0,201.0,4,8288.659793814433,True
Plot  Area,Ready To Move,Kothanur,4 Bedroom,2700.0,4.0,2.0,175.0,4,6481.481481481482,True
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1600.0,3.0,3.0,90.0,3,5625.0,False
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,1510.0,3.0,3.0,47.57,3,3150.3311258278145,False
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3033.0,4.0,1.0,326.0,4,10748.433893834488,True
Plot  Area,Ready To Move,Pai Layout,2 Bedroom,780.0,2.0,1.0,72.0,2,9230.76923076923,False
Built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,1250.0,2.0,2.0,110.0,2,8800.0,False
Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,1480.0,4.0,1.0,169.0,5,11418.918918918918,False
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1250.0,4.0,1.0,100.0,4,8000.0,False
Plot  Area,Ready To Move,Udaya Nagar,4 Bedroom,1350.0,4.0,2.0,160.0,4,11851.851851851852,False
Built-up  Area,Ready To Move,Laggere,1 Bedroom,620.0,2.0,0.0,48.0,1,7741.935483870968,False
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1630.0,3.0,2.0,60.65,3,3720.8588957055213,False
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1020.0,2.0,0.0,45.0,2,4411.764705882353,False
Super built-up  Area,18-Aug,Hosakerehalli,3 BHK,1410.0,2.0,2.0,53.58,3,3800.0,False
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,1181.7,2.0,1.0,100.0,2,8462.384700008462,False
Plot  Area,Ready To Move,9th Block Jayanagar,9 Bedroom,1200.0,8.0,3.0,270.0,9,22500.0,False
Built-up  Area,Ready To Move,KR Puram,4 Bedroom,1200.0,4.0,0.0,83.0,4,6916.666666666667,False
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1200.0,2.0,3.0,60.0,2,5000.0,False
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1050.0,2.0,2.0,50.0,2,4761.9047619047615,False
Super built-up  Area,21-Dec,Whitefield,2 BHK,1356.0,2.0,1.0,94.84,2,6994.100294985251,False
Super built-up  Area,20-Dec,Whitefield,2 BHK,1338.0,2.0,1.0,103.0,2,7698.056801195815,False
Super built-up  Area,Ready To Move,Kengeri Satellite Town Stage II,1 BHK,500.0,1.0,1.0,20.0,1,4000.0,False
Super built-up  Area,18-Aug,Vasantha Vallabha Nagar,3 BHK,1280.0,2.0,1.0,100.0,3,7812.5,False
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1531.0,3.0,3.0,51.77,3,3381.4500326583934,False
Super built-up  Area,18-May,Church Street,4 BHK,11000.0,4.0,1.0,1600.0,4,14545.454545454546,True
Built-up  Area,Ready To Move,Anekal,2 BHK,620.0,1.0,1.0,23.5,2,3790.3225806451615,False
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1605.0,2.0,2.0,65.0,3,4049.8442367601247,False
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1917.0,3.0,2.0,110.0,3,5738.132498695879,False
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1400.0,3.0,2.0,55.0,3,3928.5714285714284,False
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,2625.0,3.0,3.0,175.0,3,6666.666666666667,False
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2041.0,3.0,3.0,128.0,3,6271.435570798628,False
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2070.0,4.0,2.0,160.0,3,7729.468599033817,False
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1110.0,3.0,3.0,59.0,3,5315.315315315315,False
Built-up  Area,Ready To Move,Uday Nagar,3 BHK,1650.0,3.0,1.0,110.0,3,6666.666666666667,False
Plot  Area,18-Dec,Ambedkar Nagar,4 Bedroom,3565.0,4.0,3.0,255.0,4,7152.875175315568,True
Super built-up  Area,19-Dec,Varthur Road,3 BHK,1033.0,2.0,2.0,30.47,3,2949.6611810261375,False
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1142.0,2.0,2.0,65.0,2,5691.768826619965,False
Super built-up  Area,Ready To Move,Mathikere,3 BHK,1500.0,2.0,2.0,75.0,3,5000.0,False
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1502.0,3.0,3.0,50.0,3,3328.894806924101,False
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,3 BHK,1176.0,2.0,1.0,45.0,3,3826.530612244898,False
Super built-up  Area,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,32.8,2,3085.6067732831602,False
Built-up  Area,Ready To Move,Kammanahalli,2 BHK,1100.0,2.0,1.0,60.0,2,5454.545454545455,False
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,1044.0,2.0,2.0,85.0,2,8141.762452107279,False
Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,5400.0,3.0,2.0,700.0,3,12962.962962962964,False
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1216.0,2.0,2.0,60.0,2,4934.210526315789,False
